nt,KE,EE,TE,Total
0,0.545768,2.22184e-31,0,0.545768
3,0.545768,2.36607e-30,0,0.545768
6,0.545768,4.4432e-30,0,0.545768
9,0.545765,1.01729e-19,0,0.545765
12,0.54576,-2.44818e-17,0,0.54576
15,0.545611,-1.30808e-14,0,0.545611
18,0.547893,-4.46615e-12,0,0.547893
21,0.534983,-2.91402e-09,0,0.534983
24,24.9315,-5.85536e-06,1.41121e-05,24.9315
27,707.457,-0.000355856,0.000983821,707.458
30,669.24,-0.00142389,0.00437007,669.242
33,670.704,-0.00309062,0.00975165,670.71
36,677.81,-0.00512781,0.016577,677.822
39,670.987,-0.00706746,0.0253536,671.006
42,704.535,-0.0118477,0.0511986,704.575
45,1622.71,-0.0370897,0.188875,1622.86
48,8809.11,-0.104527,0.691595,8809.69
51,47158.2,-0.242675,1.87526,47159.9
