nt,TractNP_min,TractNP_max,TractNC1_min,TractNC1_max
0,0,0,0,0
3,0,0,0,0
6,0,0,-0.000541029,0.000199013
9,-185.637,45.8612,-173.7,19.5683
12,-424.123,763.161,-319.095,239.861
15,-10917.8,13837.4,-8696.31,632.718
18,-167803,274412,-143271,158451
21,-9.48649e+06,6.11567e+06,-6.20945e+06,3.26057e+06
24,-1.08907e+08,9.1227e+07,-7.45601e+07,1.00896e+08
27,-2.26273e+08,1.33796e+08,-1.39895e+08,1.44238e+08
30,-4.08019e+08,2.67225e+08,-1.07183e+08,8.94099e+07
33,-4.16428e+08,3.17591e+08,-1.19599e+08,1.83131e+08
36,-4.37989e+08,3.32836e+08,-1.31416e+08,1.62267e+08
39,-9.91299e+08,3.74326e+08,-1.97444e+08,4.2015e+08
42,-3.97028e+09,1.05359e+09,-6.5203e+08,1.19582e+09
45,-1.13611e+10,2.61592e+09,-1.56813e+09,2.97166e+09
48,-2.72805e+10,5.87745e+09,-3.36539e+09,6.68743e+09
